t	rsl
0	1.705
0.125	1.642
0.25	1.018
0.375	-0.066
0.5	-0.838
0.625	-0.688
0.75	-0.129
0.875	-0.096
1	-0.521
1.125	-0.63
1.25	-0.272
1.375	3.83E-03
1.5	0.024
1.625	0.361
1.75	1.391
1.875	2.421
2	2.34E+00
2.125	1.118
2.25	-0.117
2.375	-6.02E-01
2.5	-0.74
2.625	-1.134
2.75	-1.708
2.875	-2.09
3	-2.202
3.125	-2.07
3.25	-1.616
3.375	-9.94E-01
3.5	-0.691
3.625	-1.115
3.75	-2.267
3.875	-3.741
4	-4.95
4.125	-5.544
4.25	-5.679
4.375	-5.81
4.5	-6.334
4.625	-7.44
4.75	-9.086
4.875	-10.822
5	-11.832
5.125	-11.641
5.25	-10.69
5.375	-9.777
5.5	-9.115
5.625	-8.381
5.75	-7.468
5.875	-6.549
6	-5.717
6.125	-5.141
6.25	-5.125
6.375	-5.634
6.5	-6.118
6.625	-6.053
6.75	-5.609
6.875	-5.602
7	-6.806
7.125	-9.281
7.25	-12.11
7.375	-14.079
7.5	-14.856
7.625	-15.098
7.75	-15.512
7.875	-16.259
8	-17.07
8.125	-17.633
8.25	-18.012
8.375	-18.508
8.5	-19.163
8.625	-19.775
8.75	-20.265
8.875	-20.534
9	-20.458
9.125	-20.376
9.25	-20.933
9.375	-22.298
9.5	-24.028
9.625	-25.611
9.75	-26.829
9.875	-27.735
10	-28.441
10.125	-29.013
10.25	-29.547
10.375	-30.281
10.5	-31.476
10.625	-33.009
10.75	-34.349
10.875	-35.119
11	-35.719
11.125	-37.424
11.25	-41.617
11.375	-48.755
11.5	-57.34
11.625	-64.475
11.75	-68.616
11.875	-70.465
12	-71.302
12.125	-71.946
12.25	-72.715
12.375	-73.515
12.5	-74.051
12.625	-74.144
12.75	-73.904
12.875	-73.633
13	-73.555
13.125	-73.679
13.25	-73.862
13.375	-73.977
13.5	-74.071
13.625	-74.297
13.75	-74.699
13.875	-75.155
14	-75.488
14.125	-75.663
14.25	-75.842
14.375	-76.154
14.5	-76.563
14.625	-76.969
14.75	-77.327
14.875	-77.671
15	-78.045
15.125	-78.485
15.25	-79.03
15.375	-79.644
15.5	-80.216
15.625	-80.722
15.75	-81.174
15.875	-81.493
16	-81.665
16.125	-81.85
16.25	-82.196
16.375	-82.707
16.5	-83.298
16.625	-83.843
16.75	-84.247
16.875	-84.498
17	-84.601
17.125	-84.59
17.25	-84.601
17.375	-84.777
17.5	-85.128
17.625	-85.565
17.75	-86.012
17.875	-86.487
18	-87.08
18.125	-87.838
18.25	-88.734
18.375	-89.73
18.5	-90.693
18.625	-91.415
18.75	-91.87
18.875	-92.255
19	-92.748
19.125	-93.382
19.25	-94.107
19.375	-94.853
19.5	-95.546
19.625	-96.204
19.75	-97.055
19.875	-98.263
20	-99.607
20.125	-100.746
20.25	-101.625
20.375	-102.386
20.5	-103.07
20.625	-103.671
20.75	-104.437
20.875	-105.72
21	-107.319
21.125	-108.484
21.25	-108.855
21.375	-108.812
21.5	-108.782
21.625	-108.758
21.75	-108.631
21.875	-108.479
22	-108.418
22.125	-108.501
22.25	-108.743
22.375	-109.118
22.5	-109.54
22.625	-109.889
22.75	-110.058
22.875	-110.032
23	-109.905
23.125	-109.752
23.25	-109.589
23.375	-109.439
23.5	-109.303
23.625	-109.069
23.75	-108.558
23.875	-107.754
24	-106.947
24.125	-106.463
24.25	-106.311
24.375	-106.273
24.5	-106.176
24.625	-105.959
24.75	-105.656
24.875	-105.332
25	-105.002
25.125	-104.656
25.25	-104.291
25.375	-103.86
25.5	-103.341
25.625	-102.851
25.75	-102.527
25.875	-102.376
26	-102.3
26.125	-102.184
26.25	-101.975
26.375	-101.735
26.5	-101.601
26.625	-101.634
26.75	-101.764
26.875	-101.93
27	-102.162
27.125	-102.519
27.25	-103.029
27.375	-103.594
27.5	-104.023
27.625	-104.213
27.75	-104.209
27.875	-104.118
28	-104.072
28.125	-104.161
28.25	-104.368
28.375	-104.621
28.5	-104.809
28.625	-104.816
28.75	-104.655
28.875	-104.467
29	-104.324
29.125	-104.148
29.25	-103.823
29.375	-103.358
29.5	-102.897
29.625	-102.488
29.75	-101.891
29.875	-100.846
30	-99.442
30.125	-98.072
30.25	-97.065
30.375	-96.461
30.5	-96.067
30.625	-95.62
30.75	-94.812
30.875	-93.425
31	-91.632
31.125	-89.916
31.25	-88.61
31.375	-87.74
31.5	-87.168
31.625	-86.631
31.75	-85.913
31.875	-85.095
32	-84.43
32.125	-84.061
32.25	-83.986
32.375	-84.215
32.5	-84.788
32.625	-85.557
32.75	-86.126
32.875	-86.196
33	-85.786
33.125	-85.115
33.25	-84.474
33.375	-84.073
33.5	-83.944
33.625	-84.048
33.75	-84.411
33.875	-85.078
34	-86.027
34.125	-87.153
34.25	-88.243
34.375	-88.996
34.5	-89.179
34.625	-88.764
34.75	-87.883
34.875	-86.658
35	-85.191
35.125	-83.621
35.25	-81.985
35.375	-80.302
35.5	-78.756
35.625	-77.505
35.75	-76.552
35.875	-75.859
36	-75.364
36.125	-74.914
36.25	-74.373
36.375	-73.784
36.5	-73.333
36.625	-73.033
36.75	-72.665
36.875	-72.239
37	-72.191
37.125	-73.003
37.25	-74.798
37.375	-77.193
37.5	-79.662
37.625	-81.968
37.75	-83.953
37.875	-85.368
38	-86.234
38.125	-86.751
38.25	-86.877
38.375	-86.485
38.5	-85.677
38.625	-84.751
38.75	-84.096
38.875	-83.984
39	-84.261
39.125	-84.459
39.25	-84.365
39.375	-84.19
39.5	-84.143
39.625	-84.148
39.75	-84.002
39.875	-83.617
40	-83.108
40.125	-82.662
40.25	-82.339
40.375	-82.157
40.5	-82.127
40.625	-82.117
40.75	-81.917
40.875	-81.464
41	-80.951
41.125	-80.671
41.25	-80.783
41.375	-81.265
41.5	-81.953
41.625	-82.666
41.75	-83.274
41.875	-83.645
42	-83.8
42.125	-83.89
42.25	-83.903
42.375	-83.725
42.5	-83.385
42.625	-82.959
42.75	-82.446
42.875	-81.872
43	-81.365
43.125	-81.064
43.25	-80.998
43.375	-81.077
43.5	-81.139
43.625	-81.022
43.75	-80.661
43.875	-80.127
44	-79.54
44.125	-79.007
44.25	-78.65
44.375	-78.55
44.5	-78.642
44.625	-78.73
44.75	-78.632
44.875	-78.335
45	-77.915
45.125	-77.459
45.25	-77.08
45.375	-76.802
45.5	-76.499
45.625	-76.143
45.75	-76.048
45.875	-76.581
46	-77.612
46.125	-78.572
46.25	-79.076
46.375	-79.353
46.5	-80.018
46.625	-81.313
46.75	-82.712
46.875	-83.55
47	-83.841
47.125	-84.075
47.25	-84.481
47.375	-84.867
47.5	-85.09
47.625	-85.328
47.75	-85.76
47.875	-86.177
48	-86.19
48.125	-85.71
48.25	-84.962
48.375	-84.12
48.5	-83.21
48.625	-82.35
48.75	-81.7
48.875	-81.243
49	-80.932
49.125	-80.793
49.25	-80.697
49.375	-80.366
49.5	-79.677
49.625	-78.747
49.75	-77.792
49.875	-77.058
50	-76.707
50.125	-76.671
50.25	-76.667
50.375	-76.407
50.5	-75.855
50.625	-75.184
50.75	-74.523
50.875	-73.912
51	-73.423
51.125	-73.079
51.25	-72.729
51.375	-72.251
51.5	-71.754
51.625	-71.351
51.75	-70.883
51.875	-70.249
52	-69.768
52.125	-69.709
52.25	-69.855
52.375	-69.913
52.5	-69.865
52.625	-69.741
52.75	-69.584
52.875	-69.59
53	-69.842
53.125	-70.124
53.25	-70.262
53.375	-70.429
53.5	-70.856
53.625	-71.397
53.75	-71.68
53.875	-71.64
54	-71.652
54.125	-72.009
54.25	-72.478
54.375	-72.653
54.5	-72.477
54.625	-72.282
54.75	-72.504
54.875	-73.268
55	-74.176
55.125	-74.68
55.25	-74.545
55.375	-73.894
55.5	-73.073
55.625	-72.502
55.75	-72.434
55.875	-72.715
56	-72.952
56.125	-72.983
56.25	-72.871
56.375	-72.641
56.5	-72.35
56.625	-72.092
56.75	-71.803
56.875	-71.373
57	-70.891
57.125	-70.571
57.25	-70.357
57.375	-69.876
57.5	-68.956
57.625	-67.824
57.75	-66.777
57.875	-65.97
58	-65.535
58.125	-65.592
58.25	-65.964
58.375	-66.284
58.5	-66.412
58.625	-66.427
58.75	-66.439
58.875	-66.591
59	-66.925
59.125	-67.263
59.25	-67.509
59.375	-67.757
59.5	-67.999
59.625	-68.111
59.75	-68.144
59.875	-68.292
60	-68.607
60.125	-68.984
60.25	-69.303
60.375	-69.471
60.5	-69.479
60.625	-69.528
60.75	-69.786
60.875	-70.102
61	-70.435
61.125	-71.346
61.25	-73.719
61.375	-77.795
61.5	-82.488
61.625	-86.403
61.75	-89.176
61.875	-91.028
62	-92.176
62.125	-92.976
62.25	-93.792
62.375	-94.75
62.5	-95.738
62.625	-96.566
62.75	-97.227
62.875	-97.844
63	-98.423
63.125	-98.862
63.25	-99.101
63.375	-99.224
63.5	-99.406
63.625	-99.674
63.75	-99.807
63.875	-99.64
64	-99.299
64.125	-99.018
64.25	-98.883
64.375	-98.844
64.5	-98.847
64.625	-98.888
64.75	-98.973
64.875	-99.008
65	-98.818
65.125	-98.426
65.25	-98.065
65.375	-97.816
65.5	-97.642
65.625	-97.567
65.75	-97.425
65.875	-96.873
66	-95.878
66.125	-94.842
66.25	-94.167
66.375	-93.91
66.5	-93.85
66.625	-93.871
66.75	-94.119
66.875	-94.642
67	-95.162
67.125	-95.426
67.25	-95.567
67.375	-95.807
67.5	-96.079
67.625	-96.222
67.75	-96.202
67.875	-96.071
68	-95.889
68.125	-95.63
68.25	-95.154
68.375	-94.366
68.5	-93.317
68.625	-92.086
68.75	-90.69
68.875	-89.217
69	-87.862
69.125	-86.829
69.25	-86.183
69.375	-85.717
69.5	-85.088
69.625	-84.202
69.75	-83.262
69.875	-82.452
70	-81.822
70.125	-81.327
70.25	-80.816
70.375	-80.141
70.5	-79.297
70.625	-78.398
70.75	-77.563
70.875	-76.769
71	-75.765
71.125	-74.318
71.25	-72.453
71.375	-70.098
71.5	-67.082
71.625	-63.94
71.75	-61.884
71.875	-61.658
72	-62.867
72.125	-64.458
72.25	-65.537
72.375	-65.802
72.5	-65.631
72.625	-65.613
72.75	-65.787
72.875	-65.925
73	-66.284
73.125	-67.163
73.25	-68.149
73.375	-68.615
73.5	-68.618
73.625	-68.631
73.75	-68.773
73.875	-68.862
74	-68.934
74.125	-69.249
74.25	-69.806
74.375	-70.221
74.5	-70.261
74.625	-70.056
74.75	-69.641
74.875	-69.008
75	-68.429
75.125	-68.128
75.25	-68.023
75.375	-67.963
75.5	-67.81
75.625	-67.247
75.75	-65.828
75.875	-63.251
76	-59.892
76.125	-57.198
76.25	-56.42
76.375	-56.819
76.5	-56.704
76.625	-55.816
76.75	-55.208
76.875	-55.362
77	-55.674
77.125	-55.608
77.25	-55.358
77.375	-55.405
77.5	-55.942
77.625	-56.803
77.75	-57.627
77.875	-58.078
78	-58.059
78.125	-57.882
78.25	-58.185
78.375	-59.278
78.5	-60.65
78.625	-61.481
78.75	-61.429
78.875	-60.649
79	-59.336
79.125	-57.673
79.25	-55.921
79.375	-54.329
79.5	-53.15
79.625	-52.567
79.75	-52.466
79.875	-52.488
80	-52.301
80.125	-51.929
80.25	-51.719
80.375	-51.843
80.5	-52.115
80.625	-52.308
80.75	-52.305
80.875	-51.983
81	-51.374
81.125	-50.824
81.25	-50.624
81.375	-50.583
81.5	-50.257
81.625	-49.424
81.75	-48.224
81.875	-47.036
82	-46.131
82.125	-45.299
82.25	-44.169
82.375	-42.855
82.5	-41.831
82.625	-41.31
82.75	-41.077
82.875	-40.915
83	-40.897
83.125	-41.11
83.25	-41.342
83.375	-41.319
83.5	-41.018
83.625	-40.57
83.75	-40.066
83.875	-39.498
84	-38.783
84.125	-37.867
84.25	-36.886
84.375	-36.119
84.5	-35.684
84.625	-35.443
84.75	-35.267
84.875	-35.179
85	-35.217
85.125	-35.379
85.25	-35.69
85.375	-36.306
85.5	-37.433
85.625	-39.208
85.75	-41.859
85.875	-45.569
86	-49.976
86.125	-54.101
86.25	-57.062
86.375	-59.014
86.5	-61.086
86.625	-64.202
86.75	-68.01
86.875	-71.26
87	-73.147
87.125	-73.752
87.25	-73.56
87.375	-73.214
87.5	-73.225
87.625	-73.597
87.75	-74.079
87.875	-74.456
88	-74.381
88.125	-73.525
88.25	-71.959
88.375	-70.19
88.5	-68.704
88.625	-67.457
88.75	-66.278
88.875	-65.331
89	-64.648
89.125	-63.872
89.25	-62.75
89.375	-61.258
89.5	-59.491
89.625	-57.793
89.75	-56.472
89.875	-55.415
90	-54.535
90.125	-54.091
90.25	-54.186
90.375	-54.54
90.5	-54.769
90.625	-54.654
90.75	-54.358
90.875	-54.221
91	-54.248
91.125	-54.142
91.25	-53.767
91.375	-53.324
91.5	-53.132
91.625	-53.362
91.75	-53.775
91.875	-53.862
92	-53.494
92.125	-53.138
92.25	-53.21
92.375	-53.59
92.5	-53.89
92.625	-53.91
92.75	-53.756
92.875	-53.59
93	-53.44
93.125	-53.335
93.25	-53.398
93.375	-53.648
93.5	-53.853
93.625	-53.72
93.75	-53.26
93.875	-52.787
94	-52.446
94.125	-52.043
94.25	-51.486
94.375	-51.047
94.5	-50.943
94.625	-51.005
94.75	-51.026
94.875	-51.113
95	-51.443
95.125	-51.789
95.25	-51.663
95.375	-50.97
95.5	-50.024
95.625	-48.942
95.75	-47.694
95.875	-46.683
96	-46.47
96.125	-46.865
96.25	-47.033
96.375	-46.512
96.5	-45.55
96.625	-44.706
96.75	-44.355
96.875	-44.159
97	-43.379
97.125	-42.106
97.25	-41.39
97.375	-41.701
97.5	-42.186
97.625	-41.876
97.75	-40.859
97.875	-39.825
98	-39.098
98.125	-38.599
98.25	-38.339
98.375	-38.45
98.5	-38.779
98.625	-38.911
98.75	-38.777
98.875	-38.684
99	-38.701
99.125	-38.615
99.25	-38.345
99.375	-37.993
99.5	-37.722
99.625	-37.683
99.75	-37.822
99.875	-37.938
100	-37.965
100.125	-37.918
100.25	-37.724
100.375	-37.389
100.5	-37.166
100.625	-37.296
100.75	-37.649
100.875	-37.864
101	-37.837
101.125	-37.68
101.25	-37.344
101.375	-36.766
101.5	-36.166
101.625	-35.948
101.75	-36.352
101.875	-37.217
102	-38.148
102.125	-38.779
102.25	-38.76
102.375	-37.738
102.5	-35.623
102.625	-33.019
102.75	-31.008
102.875	-30.207
103	-30.382
103.125	-31.044
103.25	-31.965
103.375	-32.99
103.5	-33.852
103.625	-34.426
103.75	-34.741
103.875	-34.79
104	-34.796
104.125	-35.315
104.25	-36.557
104.375	-37.994
104.5	-38.901
104.625	-39.055
104.75	-38.895
104.875	-39.106
105	-39.771
105.125	-39.991
105.25	-38.865
105.375	-36.592
105.5	-34.22
105.625	-32.713
105.75	-32.503
105.875	-33.241
106	-33.834
106.125	-33.326
106.25	-31.917
106.375	-30.742
106.5	-30.572
106.625	-31.16
106.75	-31.761
106.875	-31.759
107	-30.984
107.125	-29.931
107.25	-29.458
107.375	-30.036
107.5	-31.473
107.625	-33.231
107.75	-34.766
107.875	-35.889
108	-36.803
108.125	-37.609
108.25	-38.207
108.375	-38.735
108.5	-39.547
108.625	-40.777
108.75	-42.448
108.875	-44.607
109	-46.866
109.125	-48.426
109.25	-48.89
109.375	-48.739
109.5	-48.927
109.625	-49.989
109.75	-51.762
109.875	-53.712
110	-55.107
110.125	-55.431
110.25	-54.761
110.375	-53.236
110.5	-50.764
110.625	-47.566
110.75	-44.449
110.875	-42.225
111	-41.005
111.125	-40.264
111.25	-39.411
111.375	-38.339
111.5	-37.538
111.625	-37.619
111.75	-38.669
111.875	-39.891
112	-40.313
112.125	-40.078
112.25	-39.912
112.375	-39.824
112.5	-39.649
112.625	-39.579
112.75	-39.463
112.875	-38.624
113	-36.807
113.125	-34.748
113.25	-33.447
113.375	-33.224
113.5	-33.609
113.625	-33.993
113.75	-34.174
113.875	-34.082
114	-33.49
114.125	-32.668
114.25	-32.557
114.375	-33.607
114.5	-35.265
114.625	-36.868
114.75	-38.15
114.875	-38.869
115	-38.818
115.125	-38.196
115.25	-37.552
115.375	-37.229
115.5	-37.049
115.625	-36.596
115.75	-35.686
115.875	-34.642
116	-33.981
116.125	-33.816
116.25	-33.907
116.375	-34.039
116.5	-34.028
116.625	-33.602
116.75	-32.542
116.875	-31.032
117	-29.707
117.125	-29.077
117.25	-29.003
117.375	-29.006
117.5	-28.921
117.625	-28.859
117.75	-28.806
117.875	-28.656
118	-28.3
118.125	-27.488
118.25	-26.112
118.375	-24.582
118.5	-23.291
118.625	-22.057
118.75	-20.738
118.875	-19.788
119	-19.677
119.125	-20.231
119.25	-20.77
119.375	-20.678
119.5	-19.833
119.625	-18.642
119.75	-17.648
119.875	-17
120	-16.46
120.125	-15.794
120.25	-14.973
120.375	-14.243
120.5	-13.931
120.625	-14.08
120.75	-14.467
120.875	-14.847
121	-14.978
121.125	-14.732
121.25	-14.158
121.375	-13.289
121.5	-12.246
121.625	-11.461
121.75	-11.273
121.875	-11.416
122	-11.429
122.125	-11.21
122.25	-10.776
122.375	-10.069
122.5	-9.271
122.625	-8.795
122.75	-8.817
122.875	-8.936
123	-8.455
123.125	-7.22
123.25	-5.808
123.375	-4.768
123.5	-4.297
123.625	-4.471
123.75	-5.048
123.875	-5.424
124	-5.282
124.125	-4.799
124.25	-4.216
124.375	-3.752
124.5	-3.746
124.625	-4.385
124.75	-5.33E+00
124.875	-5.876
125	-5.592
125.125	-4.769
125.25	-4.067
125.375	-3.804
125.5	-3.737
125.625	-3.461
125.75	-2.903
125.875	-2.439
126	-2.377
126.125	-2.49
126.25	-2.338
126.375	-1.8
126.5	-1.039
126.625	-0.193
126.75	0.606
126.875	1.17
127	1.47
127.125	1.75E+00
127.25	2.281
127.375	3.084
127.5	3.917
127.625	4.47
127.75	4.669
127.875	4.622
128	4.435
128.125	4.239
128.25	4.072
128.375	3.865
128.5	3.681
128.625	3.582
128.75	3.456
128.875	3.274
129	2.909
129.125	1.972
129.25	0.582
129.375	-0.592
129.5	-1.477
129.625	-2.658
129.75	-4.176
129.875	-5.362
130	-5.914
130.125	-6.267
130.25	-7.117
130.375	-8.843
130.5	-11.115
130.625	-13.213
130.75	-14.73
130.875	-15.751
131	-16.438
131.125	-16.855
131.25	-17.172
131.375	-17.684
131.5	-18.546
131.625	-19.592
131.75	-20.456
131.875	-21.269
132	-22.954
132.125	-26.189
132.25	-30.758
132.375	-35.758
132.5	-39.936
132.625	-43.021
132.75	-46.544
132.875	-51.865
133	-57.928
133.125	-62.589
133.25	-65.378
133.375	-67.187
133.5	-68.676
133.625	-70.032
133.75	-71.165
133.875	-71.98
134	-72.643
134.125	-73.351
134.25	-74.043
134.375	-74.553
134.5	-74.861
134.625	-75.067
134.75	-75.217
134.875	-75.305
135	-75.368
135.125	-75.475
135.25	-75.654
135.375	-75.802
135.5	-75.745
135.625	-75.424
135.75	-74.971
135.875	-74.585
136	-74.369
136.125	-74.332
136.25	-74.467
136.375	-74.727
136.5	-75.094
136.625	-75.663
136.75	-76.468
136.875	-77.32
137	-77.906
137.125	-78.085
137.25	-78.092
137.375	-78.226
137.5	-78.496
137.625	-78.873
137.75	-79.458
137.875	-80.046
138	-80.148
138.125	-79.707
138.25	-79.365
138.375	-79.712
138.5	-80.491
138.625	-81.242
138.75	-82.107
138.875	-83.209
139	-84.236
139.125	-85.053
139.25	-85.97
139.375	-87.269
139.5	-88.889
139.625	-90.465
139.75	-91.409
139.875	-91.455
140	-91.167
140.125	-91.383
140.25	-92.1
140.375	-92.625
140.5	-92.859
140.625	-93.303
140.75	-93.983
140.875	-94.486
141	-94.642
141.125	-94.578
141.25	-94.479
141.375	-94.455
141.5	-94.444
141.625	-94.251
141.75	-93.84
141.875	-93.58
142	-93.863
142.125	-94.571
