Age	Lower 	Upper
140	-140	-120
138	-110.4	-93.6
136	-100	-69.2
135.5	-95	-15
135	-92	-13
134	-85	-15
130.5	-70	-68
129.5	-68	-68
128.5	-2	2
128	2	6
127	0	4
119	0	4
116	-32	-24
114	-56	-44
113	-68	-52
112.5	-70.56	-51.44
112	-69	-51
111	-59	-41
107.6	-29	-11
107	-26.759	-9.4012
106.5	-29	-11
104	-58.5	-38.5
103.5	-63.5	-41.5
103	-66	-42
102.5	-65	-41
100.6	-49.8	-27.8
100	-48.32	-26.24
99.5	-48	-28
95	-63	-45
94.5	-63.1	-47.1
94	-63.4	-48.6
93.6	-61	-47
90.6	-37.443	-24.997
90.5	-37.5	-25.5
90	-37.2	-25.2
89	-37.8	-25.8
86.7	-40	-26
86	-40.29	-25.71
84.6	-33	-19
84	-31.041	-18.859
83.8	-32	-20
82	-44	-32
81	-50.5	-40.5
80.5	-54	-44
80	-55	-45
79.5	-54	-44
78.5	-51.3	-41.3
77.8	-51	-41
77.7	-52.3	-40.3
76.2	-72	-56
76	-75	-55
75.6	-73	-55
72	-52	-36
71.5	-49.2	-35.2
71.2	-47.783	-35.457
70.7	-48	-36
69.6	-72	-60
68	-76	-64
66	-77	-67
65	-76.5	-68.5
63	-75	-69
61.5	-69.818	-64.182
60.3	-54	-48
60	-53.974	-47.026
59.8	-54.5	-46.5
59.5	-55	-47
58	-63.273	-53.727
57	-65	-57
55	-65.5	-59.5
54	-64.623	-59.377
53.5	-64	-58
52.3	-48.2	-42.2
52	-47.714	-41.286
51.8	-48.7	-41.7
51	-56.818	-49.182
50.5	-56.666	-50.334
50	-53	-47
49.7	-48.5	-42.5
49.5	-47.506	-42.494
49	-49	-42
47.5	-70.023	-58.977
47	-72.4	-64.4
46.5	-72.2	-66.2
46	-71.416	-66.584
44.8	-57.8	-53.4
44.5	-56.5	-52.5
44.1	-58.6	-52.6
43	-73.506	-66.494
42	-76	-70
41	-77	-71
40	-77	-72
39	-76.5	-71.5
38.5	-75.5	-70.5
37.5	-68.5	-63.5
37	-66.5	-62.5
36.6	-72	-60
36	-76.429	-64.571
35	-80	-68
34	-78	-72
33	-76	-72
32	-68.852	-64.748
31.8	-69.7	-63.7
31	-74	-66
30.8	-81	-71
30.3	-110	-90
30	-117	-97
29.5	-123	-103
29	-125	-107
28	-127	-111
27	-127	-113
22	-126	-114
20	-125	-115
13	-67.5	-60
12.65	-58.005	-56
12.6	-65.42	-55
12.3	-60.11	-51.5
12.25	-57.525	-51
11.35	-53.095	-41
11.3	-51.61	-40
10.75	-49.075	-35
10.6	-42.62	-33.5
10.6	-44.02	-33.5
10.6	-45.12	-33.5
10.2	-45.34	-29.5
10.2	-36.64	-29.5
10.05	-37.185	-28
9.9	-33.63	-26
9.8	-31.96	-25
9.8	-34.36	-25
9.6	-27.72	-23
9.6	-30.52	-23
9.5	-25.55	-21.5
9.2	-23.84	-18.5
8.75	-17.875	-14.5
8.55	-14.735	-13
8.5	-18.95	-12.5
8.45	-16.065	-12
8.3	-12.51	-11
8.15	-11.255	-10
7.95	-8.515	-9
7.9	-10.33	-8
7.75	-8.375	-6.5
7.65	-8.505	-6
7.6	-8.52	-5.5
7.6	-7.82	-5.5
7.55	-6.735	-5
7.45	-8.165	-4
7.25	-3.625	-2.5
7.25	-5.425	-2.5
7.25	-5.625	-2.5
7.1	-3	-1.5
7	-2	-1
6.6	-1	-0.3
6.6	-1	-0.3
6.5	0	-0.3
6.45	0	-0.3
6.4	0	-0.3
6.1	0	0.3
5.1	0	0
4.15	0	0
3.66	0	0
2.6	0	0
2.55	0	0
2.55	0	0
2.35	0	0
0	0	0
